station,scenario,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54,2054-55
Callide C,Step Change, $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32 , $3.32
Gladstone,Step Change, $6.36 , $5.79 , $5.22 , $4.65 , $4.12 , $3.86 , $3.81 , $3.77 , $3.72 , $3.68 , $3.63 , $3.58 , $3.53 , $3.49 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46 , $3.46
Kogan Creek,Step Change, $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32 , $2.32
Millmerran,Step Change, $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06 , $2.06
Stanwell,Step Change, $4.96 , $6.50 , $5.75 , $5.01 , $4.28 , $3.86 , $3.78 , $3.70 , $3.60 , $3.52 , $3.43 , $3.35 , $3.26 , $3.18 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14 , $3.14
Tarong,Step Change, $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86
Tarong North,Step Change, $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86 , $3.86
Loy Yang A,Step Change, $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87 , $0.87
Loy Yang B,Step Change, $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88 , $0.88
Yallourn W,Step Change, $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90 , $0.90
